,0
ABpraapap,ABpraapa
ABpraappa,ABpraapp
ABpraappp,ABpraapp
ABprapaaa,ABprapaa
ABprapaap,ABprapaa
ABprapapa,ABprapap
ABprapapp,ABprapap
ABprappaa,ABprappa
ABprappap,ABprappa
ABprapppa,ABprappp
ABprapppp,ABprappp
ABprpaaaa,ABprpaaa
ABprpaaap,ABprpaaa
ABprpaapa,ABprpaap
ABprpaapp,ABprpaap
ABprpapaa,ABprpapa
ABprpapap,ABprpapa
ABprpappa,ABprpapp
ABprpappp,ABprpapp
ABprppaaa,ABprppaa
ABprppaap,ABprppaa
ABprppapa,ABprppap
ABprppapp,ABprppap
ABprpppaa,ABprpppa
ABprpppap,ABprpppa
ABprppppa,ABprpppp
ABprppppp,ABprpppp
MSaaaaaal,MSaaaaaa
MSaaaaaar,MSaaaaaa
MSaaaaapa,MSaaaaap
MSaaaaapp,MSaaaaap
MSaaaapaa,MSaaaapa
MSaaaapap,MSaaaapa
MSaaaappa,MSaaaapp
MSaaaappp,MSaaaapp
MSaaapaaa,MSaaapaa
MSaaapaap,MSaaapaa
MSaaapapa,MSaaapap
MSaaapapp,MSaaapap
MSaapaaaa,MSaapaaa
MSaapaaap,MSaapaaa
MSaapaapa,MSaapaap
MSaapaapp,MSaapaap
MSaapapaa,MSaapapa
MSaapapap,MSaapapa
MSaapappa,MSaapapp
MSaapappp,MSaapapp
MSpaaaaaa,MSpaaaaa
MSpaaaaap,MSpaaaaa
MSpaaaapa,MSpaaaap
MSpaaaapp,MSpaaaap
MSpaaapaa,MSpaaapa
MSpaaapap,MSpaaapa
MSpaaappa,MSpaaapp
MSpaaappp,MSpaaapp
MSpaapaaa,MSpaapaa
MSpaapaap,MSpaapaa
MSpaapapa,MSpaapap
MSpaapapp,MSpaapap
MSpapaaaa,MSpapaaa
MSpapaaap,MSpapaaa
MSpapaapa,MSpapaap
MSpapaapp,MSpapaap
MSpapapaa,MSpapapa
MSpapapap,MSpapapa
MSpapappa,MSpapapp
MSpapappp,MSpapapp
MSpapppaa,MSpapppa
MSpapppap,MSpapppa
MSaapppaa,MSaapppa
MSaapppap,MSaapppa
MSaappppa,MSaapppp
MSaappppp,MSaapppp
MSapaaaad,MSapaaaa
MSapaaaav,MSapaaaa
MSpappppa,MSpapppp
MSpappppp,MSpapppp
MSppaaaad,MSppaaaa
MSppaaaav,MSppaaaa
MSaappaaa,MSaappaa
MSaappaap,MSaappaa
MSaappapa,MSaappap
MSaappapp,MSaappap
MSapapppa,MSapappp
MSapapppp,MSapappp
MSappaapa,MSappaap
MSappaapp,MSappaap
MSapppapa,MSapppap
MSapppapp,MSapppap
MSppapapa,MSppapap
MSppapapp,MSppapap
Caappdpaa,Caappdpa
Caappdpap,Caappdpa
Cpappvapa,Cpappvap
Cpappvapp,Cpappvap
Cppaapapa,Cppaapap
Cppaapapp,Cppaapap
Cpppppdaa,Cpppppda
Cpppppdap,Cpppppda
Cpppppvaa,Cpppppva
Cpppppvap,Cpppppva
MSaaappaa,MSaaappa
MSaaappap,MSaaappa
MSaaapppa,MSaaappp
MSaaapppp,MSaaappp
MSapaaapa,MSapaaap
MSapaaapp,MSapaaap
MSapapapa,MSapapap
MSapapapp,MSapapap
MSapappaa,MSapappa
MSapappap,MSapappa
MSappapaa,MSappapa
MSappapap,MSappapa
MSappppaa,MSappppa
MSappppap,MSappppa
MSppaaapa,MSppaaap
MSppaaapp,MSppaaap
MSppapppa,MSppappp
MSppapppp,MSppappp
MSpppaapa,MSpppaap
MSpppaapp,MSpppaap
MSpppapaa,MSpppapa
MSpppapap,MSpppapa
MSppppaaa,MSppppaa
MSppppaap,MSppppaa
MSppppppa,MSpppppp
MSppppppp,MSpppppp
Capaaappa,Capaaapp
Capaaappp,Capaaapp
Cappppvpa,Cappppvp
Cappppvpp,Cappppvp
Cppapapaa,Cppapapa
Cppapapap,Cppapapa
Cppapappa,Cppapapp
Cppapappp,Cppapapp
MSapaapaa,MSapaapa
MSapaapap,MSapaapa
MSapaappa,MSapaapp
MSapaappp,MSapaapp
MSapapaaa,MSapapaa
MSapapaap,MSapapaa
MSappappa,MSappapp
MSappappp,MSappapp
MSapppaaa,MSapppaa
MSapppaap,MSapppaa
MSapppppa,MSappppp
MSapppppp,MSappppp
MSppapaaa,MSppapaa
MSppapaap,MSppapaa
MSppappaa,MSppappa
MSppappap,MSppappa
MSpppappa,MSpppapp
MSpppappp,MSpppapp
MSppppapa,MSppppap
MSppppapp,MSppppap
MSpppppaa,MSpppppa
MSpppppap,MSpppppa
Cppapaaaa,Cppapaaa
Cppapaaap,Cppapaaa
Cpppaapaa,Cpppaapa
Cpppaapap,Cpppaapa
Cpppapppa,Cpppappp
Cpppapppp,Cpppappp
Cpppppvpa,Cpppppvp
Cpppppvpp,Cpppppvp
Eplpaapaa,Eplpaapa
Eplpaapap,Eplpaapa
MSpappapa,MSpappap
MSpappapp,MSpappap
MSppaappa,MSppaapp
MSppaappp,MSppaapp
MSappaaaa,MSappaaa
