,0
Dpaaa,994.0
Dpaap,995.0
Dpap,996.0
Dpapa,997.0
Dpapp,998.0
Dpp,999.0
Dppa,1000.0
Dppaa,1001.0
Dppap,1002.0
Dppp,1003.0
Dpppa,1004.0
Dpppaa,1005.0
Dpppap,1006.0
Dpppp,1007.0
E,1008.0
EMS,1009.0
Ea,1010.0
Eal,1011.0
Eala,1012.0
Ealaa,1013.0
Ealaad,1014.0
Ealaav,1015.0
Ealap,1016.0
Ealp,1017.0
Ealpa,1018.0
Ealpp,1019.0
Ear,1020.0
Eara,1021.0
Earaa,1022.0
Earap,1023.0
Earp,1024.0
Earpa,1025.0
Earpp,1026.0
Ep,1027.0
Epl,1028.0
Epla,1029.0
Eplaa,1030.0
Eplap,1031.0
Eplp,1032.0
Eplpa,1033.0
Eplpp,1034.0
Epr,1035.0
Epra,1036.0
Epraa,1037.0
Eprap,1038.0
Eprp,1039.0
Eprpa,1040.0
Eprpp,1041.0
MS,1042.0
MSa,1043.0
MSaa,1044.0
MSaaa,1045.0
MSaaaa,1046.0
MSaaaaa,1047.0
MSaaaaaa,1048.0
MSaaaaaal,1049.0
MSaaaaaar,1050.0
MSaaaaap,1051.0
MSaaaaapa,1052.0
MSaaaaapp,1053.0
MSaaaap,1054.0
MSaaaapa,1055.0
MSaaaapaa,1056.0
MSaaaapap,1057.0
MSaaaapp,1058.0
MSaaaappa,1059.0
MSaaaappp,1060.0
MSaaap,1061.0
MSaaapa,1062.0
MSaaapaa,1063.0
MSaaapaaa,1064.0
MSaaapaap,1065.0
MSaaapap,1066.0
MSaaapapa,1067.0
MSaaapapp,1068.0
MSaaapp,1069.0
MSaaappa,1070.0
MSaaappp,1071.0
MSaap,1072.0
MSaapa,1073.0
MSaapaa,1074.0
MSaapaaa,1075.0
MSaapaaaa,1076.0
MSaapaaap,1077.0
MSaapaap,1078.0
MSaapaapa,1079.0
MSaapaapp,1080.0
MSaapap,1081.0
MSaapapa,1082.0
MSaapapaa,1083.0
MSaapapap,1084.0
MSaapapp,1085.0
MSaapappa,1086.0
MSaapappp,1087.0
MSaapp,1088.0
MSaappa,1089.0
MSaappaa,1090.0
MSaappap,1091.0
MSaappp,1092.0
MSaapppa,1093.0
MSaapppp,1094.0
MSap,1095.0
MSapa,1096.0
MSapaa,1097.0
MSapaaa,1098.0
MSapaaaa,1099.0
MSapaaap,1100.0
MSapaap,1101.0
MSapaapa,1102.0
MSapaapp,1103.0
MSapap,1104.0
MSapapa,1105.0
MSapapaa,1106.0
MSapapap,1107.0
MSapapp,1108.0
MSapappa,1109.0
MSapappp,1110.0
MSapp,1111.0
MSappa,1112.0
MSappaa,1113.0
MSappaaa,1114.0
MSappaap,1115.0
MSappap,1116.0
MSappapa,1117.0
MSappapp,1118.0
MSappp,1119.0
MSapppa,1120.0
MSapppaa,1121.0
MSapppap,1122.0
MSapppp,1123.0
MSappppa,1124.0
MSappppp,1125.0
MSp,1126.0
MSpa,1127.0
MSpaa,1128.0
MSpaaa,1129.0
